Easting,Northing,name,curvature,cesium,redist,bulk_dens,
443794.1,4644886,A1,-0.0029432,4153.9,2.1922,1.361,
443569.4,4644885,A10,-0.0001289,2170.2,-0.735,1.413,
443544.1,4644886,A11,-0.0013767,1299,-2.754,1.536,
443519.2,4644886,A12,-0.0008545,1869.8,-1.296,1.41,
443768.7,4644886,A2,-0.0019192,2531.6,-0.173,1.534,
443744.3,4644885,A3,0.0005832,1136.9,-3.3209,1.52,
443719.3,4644886,A4,-0.0028822,3261.3,1.1433,1.523,
443693.7,4644887,A5,-0.0016547,2224.8,-0.643,1.594,
443668.7,4644887,A6,-0.0007121,2167.8,-0.739,1.624,
443643.7,4644887,A7,-0.0017632,2853.2,0.3524,1.463,
443619.2,4644885,A8,-0.0001899,3059.2,0.7162,1.574,
443594.1,4644885,A9,0.0001899,2097.1,-0.862,1.586,
443793.5,4644861,B1,-0.0019328,4089.6,2.098,1.39,
443569.1,4644862,B10,-0.0002035,2533,-0.171,1.217,
443543.9,4644862,B11,-0.0037774,2082.1,-0.889,1.375,
443518.8,4644862,B12,0.0002984,2798.6,0.2737,1.365,
443768,4644861,B2,-0.0006239,1864.4,-1.307,1.335,
443743.9,4644861,B3,-0.0031128,1498.7,-2.166,1.281,
443718.8,4644862,B4,0.0004951,2372.4,-0.408,1.499,
443693.4,4644863,B5,-0.003418,1484.2,-2.206,1.477,
443668.1,4644863,B6,0.0038723,1844.2,-1.349,1.337,
443643.8,4644863,B7,-0.0006307,2608.7,-0.066,1.374,
443619,4644861,B8,-0.0014377,1858.4,-1.32,1.546,
443594.1,4644861,B9,-0.0016751,2264.4,-0.578,1.561,
443793,4644836,C1,-0.0014445,2903.8,0.3614,1.526,
443569,4644839,C10,-0.0011325,2810.5,0.2858,1.315,
443543.6,4644839,C11,0.0031942,1666.2,-1.744,1.53,
443518.7,4644840,C12,0.0014648,2493.7,-0.227,1.5,
443767.9,4644837,C2,0.0045573,1653.3,-1.775,1.254,
