year,cs-137 annual deposition [Pbq],cs-137 cumulative corrected [Pbq],cs-137 dep [Bq/m^2],cs-137 cumulative dep [Bq/m^2]
1954,4.7,4.7,27.7530556,27.7530556
1955,20,24.59265185,118.0981089,145.2172839
1956,31,55.03095491,183.0520689,324.9525854
1957,30,83.77404616,177.1471634,494.6778215
1958,40,121.8606443,236.1962179,719.5755823
1959,80,199.0773433,472.3924357,1175.532889
1960,18,212.5304105,106.288298,1254.971979
1961,21,228.6762092,124.0030144,1350.311394
1962,92,315.4532374,543.2513011,1862.72154
1963,150,458.2482755,885.735817,2705.912738
1964,100,547.7818704,590.4905447,3234.60015
1965,34,569.2705152,200.7667852,3361.488566
1966,19,575.2683587,112.1932035,3396.905265
1967,9,571.1292112,53.14414902,3372.46399
1968,12,570.084602,70.85886536,3366.295672
1969,7,564.0638517,41.33433813,3330.74371
1970,7,558.1806155,41.33433813,3296.003757
1971,9,554.4317526,53.14414902,3273.867076
1972,5,546.7685139,29.52452723,3228.616376
1973,4,538.2803038,23.61962179,3178.494298
1974,5,530.9859647,29.52452723,3135.421915
1975,4,522.8582285,23.61962179,3087.428401
1976,2,512.91613,11.80981089,3028.72125
1977,4,505.2011094,23.61962179,2983.164783
1978,4,497.6623001,23.61962179,2938.648827
1979,2,488.2956775,11.80981089,2883.339806
1980,1,478.1429888,5.904905447,2823.389139
1981,3,470.2221878,17.71471634,2776.617558
1982,1,460.4822982,5.904905447,2719.104431
1983,0,449.964868,0,2657
